book_file_name	character_name	conductance_value	dumping_factor	exponent	tot_number_of_characters_in_community	Baratheon_family	Lannister_family	Stark_family	Targaryen_family
A Clash of Kings	Daenerys-Targaryen	0.09859154929577464	0.9	1.0	18	0	0	0	3
A Clash of Kings	Jon-Snow	0.08527131782945736	0.75	1.0	28	0	0	1	4
A Clash of Kings	Samwell-Tarly	0.08527131782945736	0.55	1.0	28	0	0	1	4
A Clash of Kings	Tyrion-Lannister	0.09865470852017937	0.95	1.0	160	8	6	6	6
A Feast for Crows & A Dance with Dragons	Daenerys-Targaryen	0.07157894736842105	0.95	1.0	298	5	8	4	11
A Feast for Crows & A Dance with Dragons	Jon-Snow	0.06060606060606061	0.95	1.0	181	2	0	10	2
A Feast for Crows & A Dance with Dragons	Samwell-Tarly	0.08624708624708624	0.95	1.0	177	2	0	10	2
A Feast for Crows & A Dance with Dragons	Tyrion-Lannister	0.0441025641025641	0.95	1.0	286	5	8	4	11
A Game of Thrones	Daenerys-Targaryen	0.07801418439716312	0.9	1.0	22	0	0	0	3
A Game of Thrones	Jon-Snow	0.07913669064748201	0.9	1.0	166	6	6	13	5
A Game of Thrones	Samwell-Tarly	0.07913669064748201	0.8	1.0	166	6	6	13	5
A Game of Thrones	Tyrion-Lannister	0.07913669064748201	0.85	1.0	166	6	6	13	5
A Storm of Swords	Daenerys-Targaryen	0.07142857142857142	0.9	0.8	25	0	0	0	2
A Storm of Swords	Jon-Snow	0.06198347107438017	0.95	1.0	74	0	0	1	1
A Storm of Swords	Samwell-Tarly	0.06079664570230608	0.95	1.0	71	0	0	1	1
A Storm of Swords	Tyrion-Lannister	0.07903780068728522	0.95	1.0	204	7	9	11	10
